row_id,source_file,experiment_date,verdict,notes,measured_CP_voltage_V_stateA,measured_CP_voltage_V_stateB,measured_CP_voltage_V_stateC,measured_CuO_peak_cm-1,measured_CuO_peak_position_cm-1,measured_IACS_pct,measured_IP_rating,measured_N_content_at_pct,measured_S1_resistivity_ohm_m,measured_S2_resistivity_ohm_m,measured_S3_resistivity_ohm_m,measured_S4_resistivity_ohm_m,measured_S5_resistivity_ohm_m,measured_TCR_per_C,measured_aging_test,measured_ambient_temp_range_C,measured_ampacity_A_cm2,measured_cable_OD_max_mm,measured_cable_cross_section_mm2_control,measured_cable_cross_section_mm2_test,measured_cable_diameter_mm_control,measured_cable_diameter_mm_test,measured_cable_pull_force_N,measured_cable_weight_kg,measured_cable_weight_lbs_per_mft,measured_comparison_wire_diameter_um,measured_conductivity_change_pct_anneal,measured_conductivity_change_pct_graphene,measured_conductivity_improvement_pct,measured_connector_dimension_mm,measured_connector_weight_kg,measured_contact_resistance_target_uOhm,measured_coverage_pct,measured_cross_section_mm2_control,measured_cross_section_mm2_test,measured_cross_section_reduction_pct,measured_current_density_A_cm2_max,measured_delta_Tsk_C_control,measured_delta_Tsk_C_general_sheet,measured_delta_Tsk_C_graphene_sheet,measured_diameter_anneal_um,measured_diameter_bare_um,measured_diameter_change_pct,measured_diameter_graphene_um,measured_dielectric_test_V_LN_CP,measured_dielectric_test_V_LN_PE,measured_dielectric_test_Vac,measured_electrical_conductivity_S_m,measured_elongation_pct,measured_flexing_force_N,measured_ground_conductor_AWG,measured_high_voltage_test_VAC,measured_high_voltage_test_VDC,measured_humidity_test,measured_insertion_force_N,measured_insulation_material,measured_insulation_resistance_GOhm_L_N_CP_control,measured_insulation_resistance_GOhm_L_N_CP_test,measured_insulation_resistance_GOhm_L_N_PE,measured_insulation_resistance_MOhm,measured_insulation_resistance_improvement_pct,measured_insulation_resistance_range_MOhm,measured_insulation_thickness_power_mm,measured_intensity_change_pct,measured_jacket_material,measured_kelvin_resistance_range_Ohm,measured_min_Tsk_C_control,measured_min_Tsk_C_general_sheet,measured_min_Tsk_C_graphene_sheet,measured_note,measured_p_value,measured_power_conductor_AWG,measured_power_conductor_diameter_mm,measured_pull_force_N,measured_push_pull_force_lbs,measured_raman_D_peak_cm-1,measured_raman_G_peak_cm-1,measured_raman_I2D_IG,measured_raman_ID_IG,measured_raman_measurement_points,measured_raman_scan_range_cm-1,measured_rated_current_A,measured_rated_current_power_A,measured_rated_current_signal_A,measured_rated_voltage_Vdc,measured_rated_voltage_power_Vdc,measured_rated_voltage_signal_V,measured_reaction_time_min_variants,measured_resistance,measured_resistance_change_pct_anneal,measured_resistance_change_pct_graphene,measured_resistivity_change_pct,measured_resistivity_change_pct_50um,measured_resistivity_change_pct_80um,measured_resistivity_change_pct_unit,measured_resistivity_range_50um_asgrown_ohm_m,measured_resistivity_range_50um_bare_ohm_m,measured_resistivity_range_80um_ohm_m,measured_resistivity_ratio_pct,measured_resistivity_uOhm_cm_composite,measured_resistivity_uOhm_cm_pure_Cu,measured_sample_label,measured_signal_conductor_AWG,measured_signal_current_A,measured_signal_voltage_Vdc,measured_specific_conductivity_S_cm2_g,measured_specific_conductivity_S_cm_mg,measured_surface_temp_C_control_7kW,measured_surface_temp_C_test_7kW,measured_temp_C_cable_control,measured_temp_C_cable_test,measured_temp_C_connector_control,measured_temp_C_connector_test,measured_temp_C_internal_wiring_L_control,measured_temp_C_internal_wiring_L_test,measured_temp_C_internal_wiring_N_control,measured_temp_C_internal_wiring_N_test,measured_temp_diff_C,measured_temp_diff_C_10min,measured_temp_diff_C_1min,measured_temp_diff_C_2min,measured_temp_diff_C_3min,measured_temp_diff_C_4min,measured_temp_diff_C_5min,measured_temp_reduction_pct_cable,measured_temp_rise_C,measured_temp_rise_C_general_IR,measured_temp_rise_C_general_contact,measured_temp_rise_C_graphene_IR,measured_temp_rise_C_graphene_contact,measured_temp_rise_C_multi_general,measured_temp_rise_C_multi_graphene,measured_temp_rise_C_single_general,measured_temp_rise_C_single_graphene,measured_temp_rise_limit_C,measured_tensile_strength,measured_tensile_strength_MPa,measured_tensile_strength_ratio,measured_test_condition,measured_thermal_conductivity_Cu_W_mK,measured_thermal_conductivity_W_mK,measured_thermal_conductivity_graphene_W_mK,measured_thermal_conductivity_ratio_pct_of_Cu,measured_thermal_diffusivity_mm2_s,measured_thickness_bare_um,measured_thickness_change_pct,measured_thickness_graphene_um,measured_torque_Nm,measured_unit_note,measured_weight,measured_weight_reduction_pct,measured_youngs_modulus_GPa,process_anneal_condition,process_gas,process_gas_flow,process_gas_flow_set1,process_gas_flow_set2,process_gas_flow_set3,process_gas_flow_set4,process_gas_flow_set5,process_graphene_condition,process_material,process_note,process_other_conditions,process_precursor,process_pressure,process_product,process_reaction_time_min,process_size,process_standard,process_substrate,process_synthesis_method,process_temperature_C,process_test_condition,process_wire_spec
11,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,직경 감소 확인,그래핀 합성으로 인한 미세 식각/재배열 추정 (SEM 측정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,-1.2,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cu wire 50um,,,,
12,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,"Graphene 샘플 전기특성 개선(양호), Annealing 저항증가(불리)",Annealing 저항증가는 grain boundary 영향 추정,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.56,22.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.48,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4-point 측정, Bare/Anneal/Graphene 비교",,,,,,,Cu wire 50um,,,,
13,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,직경 감소 확인 (Annealing/합성 모두),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,-4.3,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cu wire 80um,,,,
14,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,"Annealing 결정재배열 효과, Graphene 효과 50um 대비 감소",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,11.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4-point, Bare/Anneal/Graphene 비교",,,,,,,Cu wire 80.7um,,,,
15,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,양품(전기적 성능 개선),"얇을수록 개선폭 큼. 참고논문(Kashani)과 경향 일치. row1,2와 동일 데이터의 다른 슬라이드 표현",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-point 측정,,,,,,,"Cu wire 50um/80um, Bare vs As-grown",,,,
16,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,"정량비교 어려움, 추가정밀 Raman 재측정 필요",,,,,"[300, 630]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동일파워/노출시간에도 peak 위치 불일치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,산화조건: 100도 핫플레이트 1일 가열,,,,,,,,,,,
17,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,As-grown이 Bare 대비 변화폭 작음(산화영향 덜받음 추정),저항 감소는 산화미발생+열처리효과 복합가능성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0~7E-8,0~1E-7,0~2E-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"산화조건: 300도 24시간+실온쿨링, 50um/80um Bare/As-grown",,,,,,,,,,,
18,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,전류증가에 따라 비저항 소폭 증가(Joule heating 추정),0.01->0.02A 구간 변화율이 가장 큼(1.81~2.14%),,,,,,,,,"[6e-08, 6.12e-08, 6.16e-08, 6.19e-08]","[8.45e-08, 8.63e-08, 8.69e-08, 8.73e-08]","[6.82e-08, 6.96e-08, 7.01e-08, 7.04e-08]","[1.03e-07, 1.04e-07, 1.05e-07, 1.05e-07]","[7.84e-08, 8e-08, 8.04e-08, 8.06e-08]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DC 전류 인가 0.01/0.02/0.03/0.04A, 5개 샘플(S1-S5)",,,,,,,,,,,
19,2024-7-30_ GSC 그래핀 구리 전선 시험성적 결과.pptx,2024-07-30,"Bare는 일부 unwound구간 존재, Anneal/Graphene 두께 유사","SEM 직경측정, 연선(strand) 형태 실험",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[246, 278, 50.1, 51.2]","[280, 243]",,"[47.1, 49.46]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000C 1h(H2 10sccm)+30min(H2 10sccm+Ar 100sccm),,,,,,,,1000C 1h(H2 10sccm)+30min(H2 10sccm+Ar 100sccm)+1h(H2 10sccm+Ar 100sccm+CH4 200sccm),,,,,,,,,,50um 연선(strand),,,,
20,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호(1도 미만 차이),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,,,,,,,,,2.01,2.86,2.02,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 100Adc(50% of 200A rated), 1시간연속운전, 데스틴파워 나주공장",,,,,,,부스바 80SQ (일반 vs 단층그래핀),,,,
21,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,,,,,,,,,2.99,3.15,2.51,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 100Adc, 1시간",,,,,,,부스바 80SQ (일반 vs 다층그래핀),,,,
22,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호(약2도 낮음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,,,,,,,,,14.39,12.93,12.1,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 200Adc(100%), 1시간",,,,,,,부스바 80SQ (단층그래핀),,,,
23,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호(약2도 낮음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.47,,,,,,,,,13.28,12.7,11.31,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 200Adc, 1시간",,,,,,,부스바 80SQ (다층그래핀),,,,
24,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호(약5도 낮음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.51,,,,,,,,,31.16,27.59,27.65,24.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 300Adc(150%), 1시간",,,,,,,부스바 80SQ (단층그래핀),,,,
25,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,"양호(약5도 낮음, 최대개선폭)",80SQ/300A 조건이 그래핀 효과 최대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.94,,,,,,,,,32.33,29.28,27.74,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 300Adc, 1시간",,,,,,,부스바 80SQ (다층그래핀),,,,
26,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,차이없음,저용량 규격에서 그래핀 효과 미미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.01,1.08,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 25Adc(50% of 50A rated), 1시간",,,,,,,부스바 20SQ (단층/다층그래핀),,,,
27,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,차이없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,3.53,3.43,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 50Adc(100%), 1시간",,,,,,,부스바 20SQ,,,,
28,211115_그래핀부스바 검증시험 결과서 (3).pptx,2021-11-09~11,양호(1도 미만 낮음),단층/다층 온도차 전조건 1도 미만으로 유의차 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,7.28,7.78,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750Vdc, 75Adc(150%), 1시간",,,,,,,부스바 20SQ,,,,
